Name,Short,Korean Name,Gender,Debut,Company,Members,Orig Memb,Fanclub Name,Active
(G)I-DLE,,(여자)아이들,Female,2/05/2018,Cube,5,6,,Yes
100%,,백퍼센트,Male,18/09/2012,TOP Media,4,7,Perfection,Yes
14U,,원포유,Male,17/04/2017,BG,14,14,,No
15&,,피프틴앤드,Female,5/10/2012,JYP,2,2,,No
1TEAM,,원팀,Male,27/03/2019,LiveWorks,5,5,,No
1the9,,원더나인,Male,9/02/2019,MBK,9,9,,Yes
24K,,투포케이,Male,6/09/2012,Choeun,5,6,24U,Yes
2AM,,투에이엠,Male,21/06/2008,JYP| Big Hit,4,4,I Am,No
2EYES,,투아이즈,Female,20/07/2013,SidusHQ,4,5,,No
2NE1,,투애니원,Female,6/05/2009,YG,4,4,Blackjack,No
2PM,,투피엠,Male,4/07/2008,JYP,6,7,Hottest,Yes
2Z,Tuzi,투지,Male,14/01/2020,Morph,5,5,,Yes
3YE,,써드아이,Female,21/05/2019,GH,3,3,,Yes
4Minute,,포미닛,Female,15/06/2009,Cube,5,5,4nia,No
4TEN,,포텐,Female,26/08/2014,Jungle,4,4,,No
8Eight,,에이트,Male,6/09/2007,Big Hit,3,3,Sweet Voice,No
8TURN,,에잇턴,Male,30/01/2023,MNH,8,8,,Yes
9Muses,Nine Muses,나인뮤지스,Female,12/08/2010,Star Empire,4,9,MINE,No
A.C.E,ACE,에이스,Male,23/05/2017,Beat,5,5,Choice,Yes
A.cian,,에이션,Male,10/10/2012,Wings,4,5,,No
A.DE,,에이디이,Female,23/07/2016,2ABLE,6,7,,No
A6P,,에이식스피,Male,20/05/2015,DS,6,6,,No
AB6IX,,에이비식스,Male,22/05/2019,Brand New,4,5,ABNEW,Yes
ABLUE,,에이블루,Male,23/10/2022,J-Star,6,6,BLUEVERY,Yes
ABRY,,에이브리,Female,15/11/2017,withHC,4,4,,Yes
ADYA,,에이디야,Female,,Starting House,5,5,,Yes
aespa,æspa,에스파,Female,17/11/2020,SM,4,4,My,Yes
After School,,애프터스쿨,Female,15/01/2009,Pledis,6,5,Playgirlz,No
AIMERS,,에이머스,Male,17/11/2022,Hyper Rhythm,6,6,AIMING,Yes
AiRiSu,,아이리수,Female,25/07/2018,Jang,4,4,,No
A-JAX,,에이젝스,Male,1/06/2012,DSP,5,7,A-LIGHT,No
ALICE,ELRIS,앨리스,Female,1/07/2017,IOK Company,7,5,,Yes
AlphaBat,,알파벳,Male,14/11/2013,Simtong,5,9,,Yes
ANS,,에이엔에스,Female,16/09/2019,ANS,8,6,,No
AOA,,에이오에이,Female,30/07/2012,FNC,4,8,ELVIS,Yes
API,,에이피아이,Female,19/04/2019,BRICKWORKS,5,5,,Yes
Apink,,에이핑크,Female,19/04/2011,Plan A,5,7,Pink Panda,Yes
Apple.B,,애플비,Female,1/08/2017,GH,5,5,,No
April,,에이프릴,Female,24/08/2015,DSP,6,6,Fineapple,No
AREAL,,에이리얼,Female,21/08/2020,JZ Factory,4,4,,No
ARGON,,아르곤,Male,11/03/2019,MSH,6,6,A-Rang,Yes
Ariaz,,아리아즈,Female,23/10/2019,Rising Star,6,6,,No
ARTBEAT,,아트비트,Female,16/11/2022,AB Creative,7,7,,Yes
ASTRO,,아스트로,Male,23/02/2016,Fantagio,4,6,AROHA,Yes
ATBO,,에이티비오,Male,27/07/2022,IST,7,7,BOAT,Yes
ATEEZ,,에이티즈,Male,24/10/2018,KQ,8,8,,Yes
AWEEK,,어위크,Male,31/01/2019,Illusion,7,7,,Yes
B.A.P,BAP,비에이피,Male,27/01/2012,TS,6,6,BABY,No
B.Heart,,비하트,Male,25/01/2017,Poong,4,4,,Yes
B.I.G,,비아이지,Male,9/07/2014,GH,4,5,,Yes
B.O.Y,,비오브유,Male,20/01/2020,Music Works,2,2,,Yes
B1A4,,비원에이포,Male,19/04/2010,WM,5,5,BANA,Yes
Baby V.O.X,,베이비복스,Female,5/07/1997,DR Music,5,5,,No
BABYMONSTER,,베이비몬스터,Female,,YG,7,7,,Pre-Debut
Badkiz,,배드키즈,Female,24/03/2014,Zoo,5,5,,No
